,Coke 300ml 12 S/W NP,Coke 350ml CR 24RB,COKE 500ML 20 RB,Coke Zero 750ml 6 S/W NP,DASANI STILL 500ML 12 S/W NP,DASANI WATER 1.5L 6 S/W NP,Fanta Fruit Blast 300ml 12 S/W NP,FANTA FRUIT BLAST 350ML RGB X 24,FANTA ORANGE 1.25L 6 S/W NP,Fanta Orange 300ml 12 S/W NP,Fanta Orange 350ml CR 24RB,Fanta Orange 500ml 20 RB,Fanta P/apple 350ml CR 24RB,Fanta Passion 1.25L 6 S/W NP,Fanta Passion 300ml 12 S/W NP,Fanta Passion 350ml 24 RB,Fanta Passion 500ml 20 RB,Fanta Pineapple 300ML 12 S/W NP,Fanta Pineapple 500ml 20 RB,KREST BITTER LEMON 300ML 24 RB,KREST SODA WATER 300ML 24 RB,Krest Soda Water 500ml 12 S/W NP,Krest Tonic 300ml 24 RB,Krest Tonic Water 500ml 12 S/W NP,MINUTE MAID MANGO 1L 6 SW PET,MINUTE MAID MANGO 400ML 12 SW NP,Monster Energy TZ 500ml 1x24 C,Novida Pineapple 300ml 12 S/W NP,Spar Pinenut 350ml 24 RB,SPRITE 1.25L 6 S/W NP,Sprite 300ml 12 S/W NP,Sprite 350ml CR 24RB,Sprite Zero 750ml 6 S/W NP,Tangawizi 350ml 24 RB,Grand Total
2020-02-25,63.4,1153.62,0.0,0.0,0.0,0.0,31.7,0.0,0.0,0.0,383.061,0.0,288.405,0.0,0.0,195.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,96.135,0.0,0.0,286.926,0.0,195.228,2790.071
2020-02-26,0.0,383.061,0.0,0.0,0.0,213.975,0.0,0.0,0.0,0.0,192.27,0.0,192.27,0.0,0.0,96.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,190.791,0.0,0.0,1460.772
2020-02-27,0.0,383.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,192.27,0.0,0.0,99.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,192.27,0.0,96.135,1347.369
2020-02-28,0.0,-1.479,385.659,0.0,0.0,0.0,0.0,0.0,39.63,0.0,0.0,0.0,0.0,21.136,0.0,0.0,0.0,0.0,0.0,19.02,15.216,0.0,50.72,0.0,0.0,0.0,0.0,0.0,0.0,39.63,0.0,0.0,0.0,0.0,2220.496
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,956.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.363,0.0,384.54,0.0,0.0,96.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.405,0.0,0.0,383.061,0.0,198.186,2694.738
2020-03-03,0.0,383.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,96.135,0.0,0.0,96.135,0.0,0.0,0.0,25.36,21.556,0.0,38.04,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,192.27,0.0,96.135,1333.232
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,575.331,288.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,193.71,192.27,0.0,0.0,195.228,0.0,0.0,0.0,72.276,69.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.405,0.0,0.0,286.926,0.0,192.27,2745.355
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,288.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,192.27,0.0,0.0,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,189.312,0.0,99.093,1345.89
2020-03-10,0.0,383.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,195.228,0.0,0.0,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,192.27,0.0,0.0,1347.369
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,477.717,191.949,0.0,0.0,213.975,44.38,0.0,39.63,0.0,288.405,0.0,291.363,26.42,0.0,96.135,0.0,0.0,0.0,0.0,40.576,0.0,44.38,0.0,179.69,159.705,0.0,0.0,288.405,39.63,0.0,288.405,0.0,0.0,3210.07
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,474.759,0.0,0.0,0.0,0.0,0.0,99.093,0.0,0.0,192.27,0.0,96.135,0.0,0.0,96.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.135,0.0,0.0,192.27,0.0,96.135,1342.932
2020-03-17,0.0,575.331,0.0,0.0,199.773,0.0,0.0,0.0,0.0,0.0,99.093,0.0,96.135,0.0,0.0,96.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.135,0.0,0.0,59.16,0.0,96.135,1650.367
2020-03-18,0.0,384.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,96.135,0.0,0.0,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,0.0,192.27,0.0,96.135,1345.89
2020-03-19,97.636,190.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,99.093,0.0,0.0,96.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.766,96.135,0.0,0.0,192.27,0.0,96.135,1749.389
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,288.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.27,0.0,291.363,0.0,0.0,192.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.312,0.0,0.0,192.27,0.0,0.0,1345.89
